product_id,product_name,category,price,cost,quantity,revenue,customer_rating
P001,Organic Coffee,Beverages,12.99,7.50,245,3182.55,4.5
P002,Artisan Bread,Bakery,5.99,2.80,523,3132.77,4.2
P003,Fresh Eggs (Dozen),Dairy,4.99,2.20,892,4451.08,4.8
P004,Local Honey,Pantry,8.99,4.50,156,1402.44,4.7
P005,Handmade Soap,Personal Care,6.50,3.20,312,2028.00,4.3
P006,Ceramic Mug,Home Goods,15.99,6.80,89,1423.11,4.1
P007,Wool Scarf,Apparel,29.99,14.50,67,2009.33,4.6
P008,Herbal Tea Blend,Beverages,9.99,4.20,178,1778.22,4.4
P009,Sourdough Starter,Bakery,7.50,1.80,234,1755.00,4.9
P010,Beeswax Candles,Home Goods,12.50,5.60,145,1812.50,4.5
P011,Croissant,Pastry,3.99,1.20,678,2705.22,4.7
P012,Cappuccino,Beverages,4.50,1.80,456,2052.00,4.6
P013,Baguette,Bakery,4.99,1.90,389,1941.11,4.3
P014,Cheesecake Slice,Dessert,6.99,2.50,234,1635.66,4.8
P015,Chocolate Chip Cookie,Pastry,2.50,0.80,892,2230.00,4.4
