product_id,product_name,category,price,cost,quantity,revenue,customer_rating,competitor_price,season
S001,Christmas Tree 6ft,Holiday,89.99,42.00,34,3059.66,4.5,99.99,Christmas
S002,Ornament Set 24pc,Holiday,29.99,12.00,89,2669.11,4.7,34.99,Christmas
S003,String Lights 50ft,Holiday,19.99,8.00,156,3118.44,4.3,22.99,Christmas
S004,Wrapping Paper 4pk,Holiday,9.99,3.50,234,2337.66,4.1,11.99,Christmas
S005,Halloween Costume Adult,Halloween,39.99,18.00,67,2679.33,4.2,44.99,Halloween
S006,Halloween Decor Set,Halloween,24.99,10.00,89,2224.11,4.4,27.99,Halloween
S007,Candy Bag 2lb,Halloween,12.99,6.00,234,3039.66,4.6,14.99,Halloween
S008,Easter Basket Set,Easter,19.99,8.50,78,1559.22,4.5,22.99,Easter
S009,Easter Eggs 12ct,Easter,5.99,2.20,189,1132.11,4.0,6.99,Easter
S010,Valentine Chocolates,Valentine,29.99,13.00,123,3688.77,4.8,34.99,Valentine
S011,Valentine Card Premium,Valentine,6.99,2.50,234,1635.66,4.5,7.99,Valentine
S012,Graduation Decor Set,Graduation,34.99,15.00,45,1574.55,4.6,39.99,Graduation
